transaction_item_id,transaction_id,product_id,quantity,unit_price
1,1,27,2,220.37
2,1,44,4,28.61
3,1,45,1,120.86
4,2,25,2,223.76
5,2,37,1,127.95
6,2,17,4,167.59
7,3,15,1,188.49
8,3,46,2,352.51
9,4,46,4,352.51
10,4,46,4,352.51
11,4,44,4,28.61
12,5,33,4,480.62
13,5,42,1,358.7
14,6,16,2,288.22
15,6,28,1,134.06
16,6,18,5,419.21
17,7,43,1,222.58
18,8,20,5,429.0
19,9,17,2,167.59
20,10,33,2,480.62
21,11,22,5,363.22
22,12,9,2,92.64
23,12,32,3,338.67
24,12,19,5,431.47
25,13,14,4,236.92
26,13,15,2,188.49
27,14,32,5,338.67
28,14,13,2,29.47
29,15,38,3,226.52
30,15,13,5,29.47
31,15,2,2,358.7
32,16,24,3,127.23
33,16,24,5,127.23
34,16,35,2,56.38
35,17,7,2,261.02
36,17,26,4,43.93
37,17,47,5,364.43
38,18,35,4,56.38
39,18,4,2,25.24
40,19,30,3,264.86
41,19,7,2,261.02
42,20,33,1,480.62
43,20,21,3,422.0
44,21,50,1,459.33
45,21,11,4,170.77
46,21,47,2,364.43
47,22,35,2,56.38
48,22,49,1,12.78
49,22,18,4,419.21
50,23,29,3,46.39
51,23,41,3,458.98
52,23,32,4,338.67
53,24,16,5,288.22
54,25,42,3,358.7
55,26,20,2,429.0
56,27,33,4,480.62
57,27,11,5,170.77
58,27,45,3,120.86
59,28,8,3,147.92
60,28,4,2,25.24
61,29,41,4,458.98
62,30,18,4,419.21
63,30,22,2,363.22
64,31,4,2,25.24
65,32,39,4,463.32
66,33,39,3,463.32
67,34,43,5,222.58
68,34,48,1,346.95
69,35,41,3,458.98
70,35,38,3,226.52
71,35,49,3,12.78
72,36,26,4,43.93
73,36,2,4,358.7
74,37,18,4,419.21
75,38,49,1,12.78
76,38,44,2,28.61
77,38,35,3,56.38
78,39,43,3,222.58
79,40,13,5,29.47
80,40,17,3,167.59
81,40,28,1,134.06
82,41,50,3,459.33
83,41,23,5,329.44
84,41,13,1,29.47
85,42,5,1,412.6
86,42,3,4,336.03
87,42,25,1,223.76
88,43,2,5,358.7
89,43,27,4,220.37
